Мой возраст,Как давно вы занимаетесь самообразованием?,Сколько часов в неделю вы уделяете самообразованию?,Насколько вы довольны существующими приложениями и сервисами для самообразования?,Какую сумму вы прямо сейчас инвестируете в свое самообразование ежемесячно?,email,"Точные науки (математика, физика и тд)",Гуманитарные науки,Химия и Биология,Психология (и проч. связанное с этим),"Творчество (писательство, музыка)",IT технологии,Бизнес и менеджмент,Английский (или другие языки)
23-30,Только планирую,10,5,до 5000р,0,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,2,2,до 5000р,0,0,1,0,0,0,0,0,0
23-30,Менее 5 лет,1,4,до 5000р,0,0,0,0,0,0,0,1,0
23-30,Менее 1 года,2,3,до 5000р,0,0,0,0,0,0,0,0,0
23-30,Больше 5 лет,10,3,до 1000р,0,0,0,0,0,0,1,0,0
18-23,Менее 1 года,10,5,до 1000р,0,0,0,0,0,0,1,0,0
23-30,Менее 5 лет,4,3,до 1000р,0,0,0,0,0,0,1,0,0
23-30,Больше 5 лет,5,4,до 1000р,0,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,1,3,до 1000р,1,0,0,0,0,0,1,0,0
23-30,Менее 1 года,4,4,до 1000р,1,0,0,0,0,0,1,1,0
30-60,Больше 5 лет,4,3,до 1000р,1,0,1,0,0,0,0,0,0
30-60,Больше 5 лет,2,3,до 1000р,0,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,2,2,до 5000р,1,0,0,0,0,0,1,1,0
23-30,Менее 1 года,6,3,до 1000р,1,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,5,4,до 5000р,1,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,5,4,до 1000р,1,0,0,1,0,0,1,0,0
30-60,Менее 5 лет,5,3,до 5000р,1,0,0,0,0,0,1,1,0
18-23,Менее 1 года,4,3,до 5000р,0,0,1,0,0,0,0,0,0
30-60,Больше 5 лет,8,3,до 5000р,0,0,0,0,0,0,1,1,0
23-30,Менее 5 лет,2,1,до 1000р,1,0,0,0,0,0,1,0,0
30-60,Менее 5 лет,2,1,до 5000р,1,0,1,0,0,0,0,0,0
23-30,Менее 5 лет,3,4,до 1000р,1,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,3,3,до 10000р,1,0,0,0,0,0,1,1,0
23-30,Менее 5 лет,10,3,до 1000р,,0,0,0,0,0,0,0,0
23-30,Больше 5 лет,4,4,до 5000р,1,0,1,0,0,0,0,0,0
30-60,Больше 5 лет,2,3,до 1000р,,0,0,1,0,0,1,0,0
30-60,Больше 5 лет,3,3,до 1000р,1,0,0,0,0,0,1,0,0
30-60,Менее 1 года,3,3,до 5000р,1,0,0,0,0,0,1,0,0
30-60,Менее 5 лет,7,4,до 1000р,0,0,0,0,0,0,1,0,0
30-60,Менее 1 года,2,3,до 5000р,0,0,0,0,0,0,0,0,0
18-23,Менее 1 года,10,5,до 1000р,1,0,1,0,0,0,1,0,0
30-60,Больше 5 лет,1,1,до 10000р,1,0,1,0,0,0,1,1,0
23-30,Менее 5 лет,2,3,до 10000р,1,0,0,0,0,0,1,0,0
23-30,Менее 1 года,2,3,до 1000р,1,0,0,0,0,0,1,1,0
30-60,Больше 5 лет,10,1,до 1000р,0,0,0,0,0,0,0,0,0
30-60,Больше 5 лет,10,4,до 1000р,0,0,0,0,0,0,0,0,0
18-23,Больше 5 лет,10,2,до 10000р,1,0,1,1,0,0,1,1,0
23-30,Больше 5 лет,1,1,до 1000р,1,0,0,0,0,0,0,0,0
23-30,Больше 5 лет,5,3,до 1000р,1,0,0,0,0,0,1,1,0
30-60,Больше 5 лет,1,4,до 1000р,0,0,0,0,0,0,1,0,0
30-60,Больше 5 лет,4,3,до 1000р,1,0,0,0,0,0,1,1,0
18-23,Менее 5 лет,3,4,до 1000р,1,0,1,0,0,0,1,1,0